,Name,User Rating,Reviews,Price,Year,Genre_n
0,10-Day Green Smoothie Cleanse,0.35999008045920833,0.46045266403352053,-0.47080975406275044,2016,0
1,11/22/63: A Novel,-0.08097772411220924,-0.8447859304360607,0.8216091786585253,2011,1
2,12 Rules for Life: An Antidote to Chaos,0.35999008045920833,0.5994403532994996,0.17539971229788745,2018,0
3,1984 (Signet Classics),0.35999008045920833,0.8080498684961349,-0.6554410301657898,2017,1
4,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",0.8009578850306219,-0.36587991456746616,-0.10154720185667164,2019,0
5,A Dance with Dragons (A Song of Ice and Fire),-0.9629133332550365,0.05884735195558102,-0.19386283990819134,2011,1
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,0.35999008045920833,0.6639429273234899,1.5601342830706828,2014,1
7,A Gentleman in Moscow: A Novel,0.35999008045920833,0.6608713761794903,0.17539971229788745,2017,1
8,"A Higher Loyalty: Truth, Lies, and Leadership",0.35999008045920833,-0.5093896096843334,-0.9323879443203489,2018,0
9,A Man Called Ove: A Novel,-0.08097772411220924,1.014867645525437,-0.47080975406275044,2016,1
10,A Man Called Ove: A Novel,-0.08097772411220924,1.014867645525437,-0.47080975406275044,2017,1
11,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,-0.08097772411220924,-0.9806167476929292,-1.0247035823718686,2010,0
12,A Stolen Life: A Memoir,-0.08097772411220924,-0.6658680762980876,1.7447655591737221,2011,0
13,A Wrinkle in Time (Time Quintet),-0.5219455286836229,-0.580205927726545,-0.7477566682173095,2018,1
14,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",-0.08097772411220924,-0.5921508488420987,0.36003098840092684,2009,0
15,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",-0.5219455286836229,-0.822517184642064,-0.8400723062688292,2016,0
16,Adult Coloring Book: Stress Relieving Animal Designs,-0.08097772411220924,-0.7703008151940719,-0.6554410301657898,2015,0
17,Adult Coloring Book: Stress Relieving Patterns,-0.9629133332550365,-0.7680824727011833,-0.6554410301657898,2015,0
18,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",-0.5219455286836229,-0.8128759268845099,-0.47080975406275044,2015,0
19,Alexander Hamilton,0.8009578850306219,-0.2350830283521525,-0.009231563805151936,2016,0
20,All the Light We Cannot See,-0.08097772411220924,2.0813784594141653,0.08308407424636775,2014,1
21,All the Light We Cannot See,-0.08097772411220924,2.0813784594141653,0.08308407424636775,2015,1
22,Allegiant,-3.1677523561121146,-0.4814896867930043,-0.009231563805151936,2013,1
23,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,-0.08097772411220924,0.3385291477897611,-0.37849411601123073,2015,0
24,And the Mountains Echoed,-1.403881137826454,0.017552053241809463,-0.009231563805151936,2013,1
25,Arguing with Idiots: How to Stop Small Minds and Big Government,-0.08097772411220924,-0.9517782952853779,-0.7477566682173095,2009,0
26,Astrophysics for People in a Hurry,0.35999008045920833,-0.2200665560925992,-0.37849411601123073,2017,0
27,"Autobiography of Mark Twain, Vol. 1",-1.8448489423978678,-0.9779718008744851,0.08308407424636775,2010,0
28,Baby Touch and Feel: Animals,-0.08097772411220924,-0.5625445086485477,-0.7477566682173095,2015,0
29,Balance (Angie's Extreme Stress Menders),-0.08097772411220924,-0.8569868141469478,-0.19386283990819134,2015,0
30,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,0.8009578850306219,-0.9092885044600509,1.0062404547615647,2012,0
31,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",0.35999008045920833,-0.9673920136007089,0.7292935406070057,2010,0
32,Becoming,0.8009578850306219,4.196056101192736,-0.19386283990819134,2018,0
